Pore,Region,Area (um^2),Centroid X (um),Centroid Y (um),Perimeter (um),Ellipse Major Axis (um),Ellipse Minor Axis (um),Major Axis Angle (degree),Circularity,Max Feret Diameter (um),Max Feret X (um),Max Feret Y (um),Feret Angle (degree),Min Feret Diameter (um),Aspect Ratio,Roundness,Solidity,Pore Type
0,Cutaneous,1738.945,4056.630,697.644,182.241,72.319,30.616,133.181,0.658,71.630,2346,387,125.218,34.582,2.362,0.423,0.853,Cortical
1,Cutaneous,5598.988,3447.982,778.910,475.330,212.403,33.563,102.586,0.311,200.618,1997,399,99.382,47.227,6.329,0.158,0.734,Cortical
2,Cutaneous,3753.396,4586.457,739.737,226.819,73.107,65.369,82.714,0.917,77.663,2659,451,77.196,65.404,1.118,0.894,0.962,Cortical
3,Cutaneous,33833.885,4851.172,856.150,772.248,238.823,180.379,102.576,0.713,256.368,2782,440,122.943,189.241,1.324,0.755,0.906,Cortical
4,Cutaneous,1122.760,5920.842,772.022,121.806,40.665,35.154,166.243,0.951,43.167,3428,444,156.501,34.423,1.157,0.865,0.966,Cortical
5,Cutaneous,3397.904,4388.742,798.394,222.714,76.547,56.519,0.119,0.861,78.968,2529,474,20.410,56.799,1.354,0.738,0.952,Cortical
6,Cutaneous,2091.474,4220.225,812.183,171.252,52.515,50.708,44.425,0.896,57.730,2446,488,63.435,51.509,1.036,0.966,0.955,Cortical
7,Cutaneous,2556.575,5188.809,820.050,189.890,70.663,46.066,0.326,0.891,70.966,2995,470,165.964,44.750,1.534,0.652,0.970,Cortical
8,Cutaneous,6392.919,5468.513,865.316,317.817,115.584,70.422,50.553,0.795,117.746,3156,527,52.125,75.457,1.641,0.609,0.944,Cortical
9,Cutaneous,40134.968,6170.148,951.721,788.625,249.810,204.561,86.606,0.811,257.095,3538,493,116.222,202.488,1.221,0.819,0.962,Cortical
10,Cutaneous,1410.116,5050.171,898.661,151.606,59.167,30.345,165.645,0.771,58.444,2917,518,166.373,32.707,1.950,0.513,0.897,Cortical
11,Cutaneous,1578.974,5809.597,938.162,144.304,47.632,42.208,30.110,0.953,50.826,3363,553,28.301,43.029,1.129,0.886,0.965,Cortical
12,Cutaneous,1940.390,7110.876,936.407,171.843,67.803,36.438,173.568,0.826,68.090,4112,538,163.856,36.145,1.861,0.537,0.958,Cortical
